year,month,latitude,scenario,temperature
2072,7,18,COMMITTED,293.99
2073,7,18,COMMITTED,294.34
2074,7,18,COMMITTED,294.05
2075,7,18,COMMITTED,294.1
2076,7,18,COMMITTED,294.02
2077,7,18,COMMITTED,294
2078,7,18,COMMITTED,294.21
2079,7,18,COMMITTED,293.92
2080,7,18,COMMITTED,294.53
2081,7,18,COMMITTED,293.49
2082,7,18,COMMITTED,294.53
2083,7,18,COMMITTED,294.54
2084,7,18,COMMITTED,294
2085,7,18,COMMITTED,294.33
2086,7,18,COMMITTED,293.62
2087,7,18,COMMITTED,294.59
2088,7,18,COMMITTED,294.48
2089,7,18,COMMITTED,294.07
2090,7,18,COMMITTED,294.12
2091,7,18,COMMITTED,294.75
2092,7,18,COMMITTED,295.19
2093,7,18,COMMITTED,294.66
2094,7,18,COMMITTED,294.24
2095,7,18,COMMITTED,293.66
2096,7,18,COMMITTED,294.43
2097,7,18,COMMITTED,294.29
2098,7,18,COMMITTED,294.04
2099,7,18,COMMITTED,293.96
2100,7,18,COMMITTED,294.48
2001,8,18,COMMITTED,294.02
2002,8,18,COMMITTED,293.82
2003,8,18,COMMITTED,293.95
2004,8,18,COMMITTED,294.3
2005,8,18,COMMITTED,294.13
2006,8,18,COMMITTED,293.7
2007,8,18,COMMITTED,294.24
2008,8,18,COMMITTED,293.49
2009,8,18,COMMITTED,294.31
2010,8,18,COMMITTED,293.56
2011,8,18,COMMITTED,294.38
2012,8,18,COMMITTED,294.6
2013,8,18,COMMITTED,293.67
2014,8,18,COMMITTED,294.71
2015,8,18,COMMITTED,293.82
2016,8,18,COMMITTED,293.27
2017,8,18,COMMITTED,293.98
2018,8,18,COMMITTED,293.77
2019,8,18,COMMITTED,294.58
2020,8,18,COMMITTED,294.2
2021,8,18,COMMITTED,294.12
2022,8,18,COMMITTED,294.61
2023,8,18,COMMITTED,294.17
2024,8,18,COMMITTED,293.82
2025,8,18,COMMITTED,293.76
2026,8,18,COMMITTED,294.7
2027,8,18,COMMITTED,294.24
2028,8,18,COMMITTED,294.35
2029,8,18,COMMITTED,294.27
2030,8,18,COMMITTED,294.06
2031,8,18,COMMITTED,294.46
2032,8,18,COMMITTED,294.57
2033,8,18,COMMITTED,294.33
2034,8,18,COMMITTED,294.34
2035,8,18,COMMITTED,294.53
2036,8,18,COMMITTED,294.66
2037,8,18,COMMITTED,294.27
2038,8,18,COMMITTED,294.13
2039,8,18,COMMITTED,294.17
2040,8,18,COMMITTED,293.78
2041,8,18,COMMITTED,294.3
2042,8,18,COMMITTED,294.49
2043,8,18,COMMITTED,293.95
2044,8,18,COMMITTED,294.43
2045,8,18,COMMITTED,293.88
2046,8,18,COMMITTED,294.26
2047,8,18,COMMITTED,294.89
2048,8,18,COMMITTED,294.29
2049,8,18,COMMITTED,293.76
2050,8,18,COMMITTED,294.5
2051,8,18,COMMITTED,294.7
2052,8,18,COMMITTED,294.67
2053,8,18,COMMITTED,293.88
2054,8,18,COMMITTED,294.12
2055,8,18,COMMITTED,295.09
2056,8,18,COMMITTED,294.65
2057,8,18,COMMITTED,294.24
2058,8,18,COMMITTED,294.24
2059,8,18,COMMITTED,294.47
2060,8,18,COMMITTED,293.88
2061,8,18,COMMITTED,293.89
2062,8,18,COMMITTED,294.78
2063,8,18,COMMITTED,294.33
2064,8,18,COMMITTED,294.21
2065,8,18,COMMITTED,294.02
2066,8,18,COMMITTED,294.68
2067,8,18,COMMITTED,294.64
2068,8,18,COMMITTED,293.97
2069,8,18,COMMITTED,294.72
2070,8,18,COMMITTED,294.57
2071,8,18,COMMITTED,293.84
2072,8,18,COMMITTED,294.74
2073,8,18,COMMITTED,293.91
2074,8,18,COMMITTED,294.32
2075,8,18,COMMITTED,294.63
