ORGANISM,BIRTH,DEATH,GENDER,HEADSTONE
human,1870,1967,male,small
human,1825,1900,male,large
human,1873,1923,female,small
human,1867,1903,female,large
human,1877,1900,male,large
human,1876,1945,male,small
human,1876,1958,female,small
human,1878,1962,female,small
human,1850,1928,male,small
human,1887,1962,male,small
human,1893,1983,female,small
human,1916,1972,male,small
human,1920,2015,female,small
human,1891,1961,male,small
human,1870,1955,female,small
human,1891,1967,male,small
human,1895,1997,female,small
human,1934,2014,male,large
human,1961,2009,male,large
human,1956,2016,male,large
human,1938,2010,female,large
human,1936,2004,female,small
human,1874,1936,female,small
human,1897,1973,female,small
human,1894,1951,female,small
human,1894,1980,male,small
human,1875,1967,female,small
human,1864,1932,male,small
human,1872,1908,male,small
human,1894,1976,female,small
human,1918,2005,female,small
human,1889,1949,male,small
human,1862,1934,female,small
human,1853,1931,male,small
human,1892,1955,female,small
human,1890,1973,male,small
human,1855,1910,male,large
human,1933,2017,male,small
human,1847,1892,male,small
human,1849,1915,female,small
human,1848,1906,male,small
human,1871,1913,male,small
human,1878,1915,male,small
human,1918,2007,male,small
human,1909,1999,female,small
human,1882,1975,male,small
human,1854,1933,female,small
human,1850,1942,male,small
human,1880,1966,female,small
human,1865,1927,female,small
human,1912,2005,male,small
human,1913,2006,female,small
human,1936,2003,female,small
human,1911,2011,male,small
human,1877,1958,male,small
human,1879,1939,male,small
human,1882,1962,female,small
human,1867,1924,male,small
human,1855,1922,female,small
human,1849,1905,male,large
human,1819,1893,male,large
human,1860,1923,female,small
human,1858,1941,male,small
human,1897,1914,male,small
human,1874,1925,female,small
human,1912,1971,female,small
human,1909,1968,male,small
human,1912,1964,female,small
human,1939,1999,male,small
human,1913,1986,male,small
human,1918,2003,female,small
human,1911,1945,male,small
human,1923,2003,male,small
human,1877,1954,male,small
human,1885,1964,female,small
human,1884,1968,female,small
human,1879,1977,female,small
human,1853,1934,male,small
human,1859,1920,female,small
human,1892,1990,female,small
human,1887,1981,male,small
human,1880,1945,male,small
human,1882,1984,female,small
human,1900,1957,male,small
human,1871,1972,female,small
human,1863,1929,male,small
human,1909,1928,male,small
human,1901,1977,female,small
human,1919,2016,male,small
human,1921,2012,female,small
human,1858,1916,male,small
human,1958,2012,male,small
human,1858,1890,male,large
human,1848,1911,female,small
human,1896,1920,male,small
human,1895,1922,male,small
human,1870,1924,female,small
human,1872,1935,male,small
human,1926,2010,male,small
human,1899,1974,male,small
human,1900,1991,female,small
human,1870,1891,male,small
human,1877,1936,female,small
human,1847,1927,female,small
human,1907,1982,male,small
human,1912,1985,female,small
human,1916,1997,male,small
human,1921,2012,female,small
human,1943,2000,male,small
human,1899,1993,female,small
human,1869,1921,male,small
human,1872,1901,male,large
human,1891,1955,male,large
human,1872,1912,male,large
human,1906,1977,male,small
human,1893,1971,female,small
human,1906,1974,male,small
human,1858,1912,male,large
human,1894,1981,female,small
human,1888,1918,male,small
human,1884,1961,male,small
human,1859,1912,male,small
human,1866,1939,female,small
human,1902,1946,female,small
human,1932,1991,male,small
human,1901,1985,male,small
human,1932,1991,male,small
human,1891,1948,female,small
human,1895,1975,female,small
human,1890,1963,male,small
human,1863,1939,female,small
human,1856,1939,male,small
human,1894,1980,female,small
human,1890,1963,male,small
human,1936,2006,female,small
human,1894,1981,female,small
human,1873,1970,female,small
human,1843,1918,male,small
human,1884,1948,female,small
human,1887,1967,male,small
human,1900,1969,female,small
human,1940,2014,male,small
human,1914,2007,female,small
human,1916,1998,male,small
human,1916,2014,female,small
human,1914,1987,male,small
human,1899,1984,female,small
human,1897,1971,male,small
human,1863,1924,female,small
human,1861,1935,male,small
human,1865,1950,male,small
human,1867,1947,female,small
human,1891,1935,female,small
human,1855,1893,female,small
human,1897,1952,male,small
human,1901,1986,female,small
human,1911,1914,female,small
human,1920,1976,male,small
human,1921,2014,female,small
human,1927,1997,male,small
human,1922,2003,female,small
human,1839,1917,female,small
human,1890,1974,female,small
human,1853,1947,male,small
human,1886,1892,male,small
human,1857,1937,female,small
human,1881,1951,female,large
human,1961,1990,female,small
human,1933,1999,male,small
human,1848,1915,male,large
human,1853,1900,female,small
human,1887,1944,male,small
human,1918,1989,male,small
human,1914,1999,female,small
human,1875,1898,female,small
human,1925,2014,female,small
human,1922,2008,male,small
human,1867,1955,male,small
human,1882,1981,female,small
human,1833,1921,female,small
human,1887,1971,female,small
human,1816,1898,female,small
human,1889,1952,male,small
human,1860,1946,female,small
human,1852,1915,male,small
human,1893,1893,female,small
human,1903,1958,male,small
human,1905,1976,female,small
human,1928,2003,female,small
human,1913,1973,male,small
human,1916,1991,female,small
human,1889,1981,male,small
human,1900,1986,female,small
human,1888,1976,male,small
human,1893,1971,female,small
human,1904,1978,female,small
human,1885,1918,female,small
human,1849,1930,female,small
human,1847,1935,male,small
human,1921,2007,female,small
human,1865,1885,male,large
human,1909,1986,male,small
human,1915,2001,female,small
human,1974,1987,female,small
human,1918,1987,male,small
human,1919,1987,female,small
human,1850,1929,male,small
human,1854,1931,female,small
human,1903,1953,female,small
human,1893,1949,male,small
human,1856,1924,male,large
human,1857,1937,female,large
human,1868,1890,female,small
human,1853,1890,male,small
human,1850,1927,female,small
human,1877,1967,female,small
human,1872,1941,male,small
human,1902,1987,female,small
human,1913,1983,male,small
human,1863,1951,female,large
human,1857,1935,male,large
human,1880,1900,male,large
human,1914,1997,female,large
human,1913,1987,male,large
human,1949,2007,female,large
human,1952,2008,male,small
human,1910,1993,female,small
human,1938,1999,male,large
human,1931,2016,female,small
human,1927,2014,male,large
human,1899,1988,male,small
human,1900,1989,female,small
human,1828,1883,male,large
human,1904,1985,male,small
human,1907,1995,female,small
human,1941,1996,male,small
human,1970,2000,male,small
human,1948,1997,female,large
human,1926,2002,female,small
human,1973,2010,female,small
human,1919,2009,male,small
human,1923,1995,female,small
human,1842,1896,male,small
