ORGANISM,BIRTH,DEATH,GENDER,HEADSTONE
HUMAN,1918,2001,F,S
HUMAN,1893,1989,F,S
HUMAN,1887,1971,M,S
HUMAN,1924,2004,M,S
HUMAN,1927,2013,F,S
HUMAN,1840,1893,M,S
HUMAN,1841,1925,F,S
HUMAN,1851,1917,M,L
HUMAN,1875,1928,F,L
HUMAN,1876,1961,M,L
HUMAN,1824,1893,M,L
HUMAN,1871,1964,F,S
HUMAN,1870,1940,M,S
HUMAN,1848,1900,F,S
HUMAN,1903,1991,F,S
HUMAN,1896,1960,M,S
HUMAN,1800,1890,M,S
HUMAN,1902,1989,F,S
HUMAN,1858,1937,F,S
HUMAN,1834,1916,F,L
HUMAN,1827,1892,M,L
HUMAN,1911,1999,M,S
HUMAN,1925,1979,M,S
HUMAN,1933,1996,M,L
HUMAN,1934,1992,F,L
HUMAN,1946,1982,M,S
HUMAN,1914,2004,M,S
HUMAN,1914,2004,M,S
HUMAN,1836,1921,F,S
HUMAN,1870,1924,F,S
HUMAN,1916,1918,M,S
HUMAN,1928,1976,M,S
HUMAN,1880,1968,M,S
HUMAN,1881,1958,F,S
HUMAN,1958,1964,M,S
HUMAN,1817,1892,F,S
HUMAN,1917,1997,M,S
HUMAN,1914,1984,M,S
HUMAN,1872,1944,F,S
HUMAN,1863,1895,F,S
HUMAN,1921,2002,M,S
HUMAN,1855,1890,M,L
HUMAN,1890,1891,F,S
HUMAN,1981,2004,F,S
HUMAN,1892,1993,M,S
HUMAN,1906,1993,F,S
HUMAN,1900,1959,M,S
HUMAN,1867,1944,F,L
HUMAN,1868,1937,M,L
HUMAN,1925,1996,F,S
HUMAN,1894,1956,F,S
HUMAN,1861,1939,F,S
HUMAN,1836,1903,F,L
HUMAN,1834,1927,M,L
HUMAN,1910,1981,M,L
HUMAN,1980,1987,M,S
HUMAN,1924,1981,F,S
HUMAN,1922,2000,M,S
HUMAN,1920,1998,M,S
HUMAN,1924,2003,F,S
HUMAN,1854,1923,F,L
HUMAN,1848,1920,M,L
HUMAN,1867,1897,F,L
HUMAN,1863,1897,M,L
HUMAN,1931,2016,F,S
HUMAN,1904,1996,F,S
HUMAN,1905,1989,M,S
HUMAN,1907,1988,F,S
HUMAN,1986,2012,M,L
HUMAN,1860,1887,M,L
HUMAN,1864,1898,M,L
HUMAN,1938,1988,F,S
HUMAN,1919,1968,F,S
HUMAN,1877,1900,F,L
HUMAN,1910,1969,M,S
HUMAN,1911,1981,M,S
HUMAN,1916,1992,F,S
HUMAN,1911,1988,M,S
HUMAN,1879,1911,F,S
HUMAN,1914,2006,F,S
HUMAN,1856,1926,M,L
HUMAN,1892,1909,M,S
HUMAN,1867,1946,F,S
HUMAN,1859,1929,M,S
HUMAN,1940,2000,M,L
HUMAN,1943,1994,F,L
HUMAN,1939,2002,M,L
HUMAN,1937,2008,F,L
HUMAN,1942,1995,F,S
HUMAN,1933,1998,F,L
HUMAN,1955,1994,M,L
HUMAN,1945,2009,F,L
HUMAN,1955,2013,F,S
HUMAN,1850,1921,M,L
HUMAN,1856,1922,F,L
HUMAN,1883,1932,M,S
HUMAN,1892,1973,F,S
HUMAN,1876,1924,M,S
HUMAN,1930,2000,M,S
HUMAN,1900,1968,M,S
HUMAN,1904,1990,F,S
HUMAN,1948,1979,M,S
HUMAN,1932,2012,M,S
HUMAN,1948,1993,M,L
HUMAN,1913,1993,M,S
HUMAN,1917,2000,F,S
HUMAN,1931,2007,M,L
HUMAN,1984,2000,F,L
HUMAN,1883,1953,M,S
HUMAN,1920,2003,M,L
HUMAN,1915,1990,F,L
HUMAN,1881,1957,F,S
HUMAN,1879,1956,F,S
HUMAN,1873,1947,M,S
HUMAN,1874,1909,F,L
HUMAN,1901,1981,M,S
HUMAN,1917,1977,F,S
HUMAN,1921,1982,M,S
HUMAN,1951,1985,M,S
HUMAN,1882,1883,M,S
HUMAN,1944,2002,M,S
HUMAN,1955,2013,F,S
HUMAN,1939,2013,F,S
HUMAN,1889,1963,F,S
HUMAN,1905,1985,F,S
HUMAN,1927,1981,M,S
HUMAN,1925,1990,M,S
HUMAN,1929,2017,F,S
HUMAN,1905,1991,F,S
HUMAN,1921,1984,M,S
HUMAN,1954,1990,M,S
HUMAN,1884,1971,M,S
HUMAN,1888,1983,F,S
HUMAN,1909,1975,M,S
HUMAN,1913,2016,F,S
HUMAN,1904,1977,M,S
HUMAN,1910,2003,F,S
HUMAN,1904,1985,M,L
HUMAN,1909,1983,F,L
HUMAN,1972,1976,F,S
HUMAN,1910,1977,M,S
HUMAN,1932,1988,F,L
HUMAN,1924,1988,M,L
HUMAN,1924,1990,F,S
HUMAN,1859,1913,F,L
HUMAN,1928,1999,M,S
HUMAN,1901,1973,M,L
HUMAN,1907,1997,F,L
HUMAN,1939,2014,M,L
HUMAN,1816,1892,F,S
HUMAN,1924,1990,M,S
HUMAN,1953,2011,M,L
HUMAN,1896,1896,M,S
HUMAN,1984,2011,M,L
HUMAN,1856,1933,M,L
HUMAN,1859,1930,F,L
HUMAN,1898,1979,M,S
HUMAN,1902,2004,F,S
HUMAN,1895,1895,M,S
HUMAN,1892,1894,F,S
HUMAN,1888,1958,M,S
HUMAN,1826,1905,M,L
HUMAN,1840,1915,F,L
HUMAN,1909,2006,M,S
HUMAN,1913,2001,F,S
HUMAN,1907,1983,M,S
HUMAN,1907,2001,F,S
HUMAN,1958,2000,M,S
HUMAN,1947,2011,M,L
HUMAN,1864,1945,M,L
HUMAN,1873,1946,F,L
HUMAN,1898,1899,M,S
HUMAN,1825,1898,M,S
HUMAN,1833,1912,F,S
HUMAN,1860,1939,M,S
HUMAN,1855,1939,F,S
HUMAN,1847,1886,M,S
HUMAN,1859,1941,F,S
HUMAN,1850,1931,M,S
HUMAN,1892,1893,M,S
HUMAN,1862,1898,M,L
HUMAN,1887,1956,M,S
HUMAN,1889,1937,F,S
HUMAN,1851,1924,M,L
HUMAN,1865,1934,F,L
HUMAN,1856,1914,M,S
HUMAN,1886,1929,M,S
HUMAN,1853,1925,M,S
HUMAN,1969,1990,M,S
HUMAN,1958,1992,M,L
HUMAN,1995,2014,M,L
HUMAN,1995,2011,M,L
HUMAN,1953,2013,F,L
HUMAN,1866,1953,F,S
HUMAN,1864,1916,M,S
HUMAN,1885,1900,M,S
HUMAN,1866,1902,M,L
HUMAN,1865,1944,F,L
HUMAN,1926,2013,F,L
HUMAN,1912,1938,F,S
HUMAN,1883,1956,M,L
HUMAN,1888,1976,F,L
HUMAN,1909,1996,M,L
HUMAN,1909,1985,F,L
HUMAN,1899,1983,M,L
HUMAN,1903,1989,F,L
HUMAN,1900,1990,F,L
HUMAN,1906,1994,M,L
HUMAN,1908,1990,F,L
HUMAN,1908,1998,M,S
HUMAN,1912,2003,F,S
HUMAN,1898,1982,F,S
HUMAN,1915,2002,M,L
HUMAN,1924,2009,F,L
HUMAN,1903,1973,F,S
HUMAN,1872,1906,M,S
HUMAN,1873,1905,F,S
HUMAN,1870,1929,M,S
HUMAN,1849,1898,F,L
HUMAN,1875,1913,F,S
HUMAN,1893,1946,M,S
HUMAN,1854,1936,F,S
HUMAN,1850,1907,M,S
HUMAN,1897,1898,M,S
HUMAN,1893,1945,F,S
HUMAN,1886,1910,M,S
HUMAN,1874,1965,F,S
HUMAN,1860,1944,M,S
HUMAN,1893,1900,M,S
HUMAN,1896,1988,F,S
HUMAN,1897,1983,M,S
HUMAN,1920,2006,M,S
HUMAN,1915,2008,M,S
HUMAN,1922,2008,F,S
HUMAN,1896,1899,M,S
HUMAN,1882,1912,M,S
HUMAN,1853,1922,M,S
HUMAN,1859,1923,F,S
HUMAN,1878,1976,F,S
HUMAN,1862,1932,F,S
HUMAN,1910,1910,M,S
HUMAN,1888,1979,F,S
HUMAN,1883,1912,M,L
HUMAN,1882,1900,M,L
HUMAN,1863,1901,M,L
HUMAN,1833,1911,F,L
HUMAN,1884,1977,M,S
HUMAN,1866,1952,F,S
HUMAN,1861,1930,M,S
HUMAN,1897,1897,M,S
HUMAN,1897,1991,F,L
HUMAN,1868,1914,M,S
HUMAN,1870,1967,M,S
HUMAN,1825,1900,M,L
HUMAN,1873,1923,F,S
HUMAN,1867,1903,F,L
HUMAN,1877,1900,M,L
HUMAN,1876,1945,M,S
HUMAN,1876,1958,F,S
HUMAN,1878,1962,F,S
HUMAN,1850,1928,M,S
HUMAN,1887,1962,M,S
HUMAN,1893,1983,F,S
HUMAN,1916,1972,M,S
HUMAN,1920,2015,F,S
HUMAN,1891,1961,M,S
HUMAN,1870,1955,F,S
HUMAN,1891,1967,M,S
HUMAN,1895,1997,F,S
HUMAN,1934,2014,M,L
HUMAN,1961,2009,M,L
HUMAN,1956,2016,M,L
HUMAN,1938,2010,F,L
HUMAN,1936,2004,F,S
HUMAN,1874,1936,F,S
HUMAN,1897,1973,F,S
HUMAN,1894,1951,F,S
HUMAN,1894,1980,M,S
HUMAN,1875,1967,F,S
HUMAN,1864,1932,M,S
HUMAN,1872,1908,M,S
HUMAN,1894,1976,F,S
HUMAN,1918,2005,F,S
HUMAN,1889,1949,M,S
HUMAN,1862,1934,F,S
HUMAN,1853,1931,M,S
HUMAN,1892,1955,F,S
HUMAN,1890,1973,M,S
HUMAN,1855,1910,M,L
HUMAN,1933,2017,M,S
HUMAN,1847,1892,M,S
HUMAN,1849,1915,F,S
HUMAN,1848,1906,M,S
HUMAN,1871,1913,M,S
HUMAN,1878,1915,M,S
HUMAN,1918,2007,M,S
HUMAN,1909,1999,F,S
HUMAN,1882,1975,M,S
HUMAN,1854,1933,F,S
HUMAN,1850,1942,M,S
HUMAN,1880,1966,F,S
HUMAN,1865,1927,F,S
HUMAN,1912,2005,M,S
HUMAN,1913,2006,F,S
HUMAN,1936,2003,F,S
HUMAN,1911,2011,M,S
HUMAN,1877,1958,M,S
HUMAN,1879,1939,M,S
HUMAN,1882,1962,F,S
HUMAN,1867,1924,M,S
HUMAN,1855,1922,F,S
HUMAN,1849,1905,M,L
