,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,6,299.62,293.83,293.62,295.82
2002,6,294.84,294.73,297.81,298.74
2003,6,294.69,297.27,300.19,294.84
2004,6,294.56,295.44,302.95,299.31
2005,6,296.98,295.91,295.92,297.18
2006,6,298.02,301.50,300.94,293.65
2007,6,295.36,298.07,297.40,294.95
2008,6,298.49,297.95,293.00,297.85
2009,6,296.20,295.05,294.89,294.64
2010,6,301.34,294.74,292.29,301.69
2011,6,293.61,297.92,293.86,298.98
2012,6,295.91,294.92,294.53,301.35
2013,6,294.37,294.68,292.81,292.19
2014,6,297.99,296.52,293.60,299.65
2015,6,297.19,299.44,294.71,294.91
2016,6,296.79,297.51,298.31,296.50
2017,6,298.11,296.99,295.52,294.48
2018,6,297.03,294.69,296.07,298.12
2019,6,299.75,295.05,297.30,296.85
2020,6,295.68,298.57,300.31,299.20
2021,6,298.31,298.08,294.78,294.38
2022,6,296.77,293.96,300.19,300.37
2023,6,303.41,298.01,304.74,301.01
2024,6,294.44,302.01,295.68,298.96
2025,6,296.17,295.23,299.04,296.90
2026,6,298.17,293.40,298.28,297.19
2027,6,297.96,297.40,299.26,299.74
2028,6,298.08,301.15,302.53,295.29
2029,6,297.44,298.99,293.24,295.82
2030,6,294.31,294.91,299.39,302.40
2031,6,298.60,302.35,293.97,297.17
2032,6,300.81,294.29,294.36,295.97
2033,6,296.09,302.00,296.72,294.93
2034,6,295.30,296.34,297.24,303.19
2035,6,292.97,297.13,301.40,301.19
2036,6,293.51,296.08,295.90,298.00
2037,6,299.59,302.81,298.66,296.89
2038,6,293.08,301.32,295.36,298.98
2039,6,295.36,297.17,300.50,304.93
2040,6,297.27,301.13,302.83,297.07
2041,6,296.97,299.31,300.63,299.03
2042,6,293.90,297.83,301.09,293.99
2043,6,300.03,296.33,301.76,301.23
2044,6,291.60,296.26,300.46,296.05
2045,6,294.74,296.10,303.06,296.69
2046,6,299.81,302.02,303.14,299.15
2047,6,302.17,297.37,296.46,293.63
2048,6,295.64,302.58,298.06,300.44
2049,6,297.18,297.15,296.10,300.60
2050,6,294.69,303.46,297.18,304.79
2051,6,297.43,294.27,296.75,303.18
2052,6,296.64,300.87,302.15,298.02
2053,6,304.80,301.63,296.56,296.07
2054,6,295.13,298.56,298.91,298.35
2055,6,299.09,302.43,307.75,300.21
2056,6,298.85,299.64,294.38,299.38
2057,6,300.95,301.89,303.68,295.94
2058,6,296.95,298.61,295.77,302.43
2059,6,300.49,305.10,300.85,297.18
2060,6,298.41,294.51,300.10,302.71
2061,6,294.71,295.31,302.26,295.25
2062,6,297.44,295.40,300.20,300.01
2063,6,292.65,300.42,297.84,294.95
2064,6,298.22,295.72,293.65,299.92
2065,6,293.19,295.70,298.41,298.59
2066,6,295.07,305.76,296.06,296.38
2067,6,299.73,298.36,302.19,294.98
2068,6,297.15,303.20,300.49,299.31
2069,6,293.17,296.47,299.56,302.18
2070,6,302.49,299.19,307.27,305.15
2071,6,297.00,301.07,298.16,300.65
2072,6,294.83,298.07,299.75,300.20
2073,6,298.84,294.39,300.22,296.10
2074,6,294.29,297.02,298.98,305.03
2075,6,295.14,303.33,302.16,300.17
2076,6,294.08,307.72,295.16,304.13
2077,6,299.73,295.51,304.62,303.00
2078,6,296.36,300.19,297.34,297.15
2079,6,294.04,294.95,301.35,298.76
2080,6,291.74,298.97,299.12,303.56
2081,6,296.28,296.84,295.70,298.20
2082,6,299.86,299.42,302.54,298.04
2083,6,301.35,298.32,303.66,301.26
2084,6,296.79,299.45,304.17,297.93
2085,6,295.71,297.82,303.18,303.15
2086,6,298.06,297.53,298.85,296.44
2087,6,295.50,300.73,302.22,301.41
2088,6,302.06,296.74,301.75,296.83
2089,6,299.29,297.22,300.41,302.28
2090,6,297.78,303.02,304.39,296.59
2091,6,300.84,301.95,299.39,298.48
2092,6,293.07,297.07,308.06,302.84
2093,6,294.17,303.43,306.44,299.30
2094,6,300.94,301.16,300.52,299.99
2095,6,295.08,301.41,299.58,301.94
2096,6,294.20,305.32,299.77,297.34
2097,6,298.17,302.14,298.17,297.87
2098,6,298.39,303.66,297.50,298.56
2099,6,301.31,297.40,297.81,299.53
2100,6,293.76,297.87,302.62,299.13
2001,7,306.89,300.25,298.67,303.96
2002,7,297.48,303.51,302.90,302.82
2003,7,301.99,300.59,307.37,301.39
2004,7,300.63,303.69,303.17,305.65
2005,7,298.50,305.04,301.52,303.29
2006,7,305.73,304.64,305.10,297.19
2007,7,299.68,300.02,301.71,299.15
2008,7,299.38,305.26,299.28,300.43
2009,7,302.66,299.13,299.54,299.75
2010,7,304.27,305.33,301.27,300.62
2011,7,296.98,302.66,299.13,300.92
2012,7,296.23,301.51,298.49,307.56
2013,7,296.43,306.57,297.95,298.93
2014,7,297.22,305.04,297.80,306.33
2015,7,302.43,297.68,305.10,304.67
2016,7,306.73,307.02,305.54,302.83
2017,7,302.56,306.87,303.46,299.63
2018,7,303.44,300.65,299.99,298.07
2019,7,297.63,305.52,303.34,304.53
2020,7,304.05,303.18,304.70,298.02
2021,7,305.05,296.44,296.90,303.01
2022,7,300.49,297.29,305.63,300.90
2023,7,305.43,302.68,308.11,307.18
2024,7,304.88,307.45,296.11,306.27
2025,7,305.63,302.46,301.32,306.45
2026,7,307.11,303.17,299.10,302.74
2027,7,304.86,305.98,305.18,308.62
2028,7,300.49,305.36,305.30,296.70
2029,7,305.54,305.09,297.29,303.52
2030,7,300.62,297.87,301.51,300.66
2031,7,299.82,306.88,296.53,299.25
2032,7,304.69,297.84,299.19,305.78
