,,Committed ,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2040,5,294.65,295.43,295.01,295.45
2041,5,295.42,295.42,294.86,295.13
2042,5,293.93,295.95,295.00,297.04
2043,5,294.49,296.85,294.38,295.76
2044,5,295.27,295.81,295.79,295.39
2045,5,293.90,297.33,296.63,295.78
2046,5,296.17,294.40,295.80,297.35
2047,5,293.88,295.72,295.28,295.21
2048,5,296.04,297.62,297.39,295.39
2049,5,294.62,295.89,295.36,295.68
2050,5,294.36,295.41,296.26,295.68
2051,5,294.02,294.88,296.50,295.79
2052,5,294.51,298.11,294.63,294.99
2053,5,293.95,297.44,294.53,295.96
2054,5,293.83,296.38,296.86,296.76
2055,5,294.97,296.21,297.27,295.15
2056,5,295.44,295.73,297.13,295.28
2057,5,293.48,298.32,297.32,295.34
2058,5,294.34,296.76,295.66,294.99
2059,5,295.04,296.33,297.86,296.36
2060,5,294.94,298.26,299.63,296.36
2061,5,296.66,295.39,296.80,295.93
2062,5,294.10,295.89,297.78,296.48
2063,5,297.08,297.18,297.84,294.99
2064,5,295.13,297.87,297.02,295.31
2065,5,294.85,295.15,296.59,297.04
2066,5,293.87,298.55,296.34,295.68
2067,5,292.76,297.01,296.79,295.82
2068,5,294.61,298.94,297.81,294.86
2069,5,295.20,297.79,298.80,295.16
2070,5,294.73,296.71,297.89,295.38
2071,5,295.10,296.15,295.80,295.52
2072,5,294.87,296.73,296.90,295.66
2073,5,295.33,296.41,297.43,295.75
2074,5,294.48,296.21,297.32,295.08
2075,5,296.07,298.19,299.00,295.87
2076,5,294.74,296.27,299.17,297.04
2077,5,294.96,297.51,296.85,296.22
2078,5,295.63,298.64,297.49,295.07
2079,5,295.02,298.14,296.77,295.64
2080,5,293.26,296.78,297.35,296.25
2081,5,294.28,299.69,299.87,296.69
2082,5,294.71,297.90,297.47,298.47
2083,5,293.70,296.66,296.91,296.07
2084,5,294.99,299.92,299.84,296.20
2085,5,295.92,297.85,297.89,296.08
2086,5,294.39,297.53,300.14,296.94
2087,5,294.84,297.95,298.30,296.41
2088,5,294.46,296.52,298.78,296.25
