,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2066,5,279.28,279.58,279.20,281.09
2067,5,276.68,282.28,281.87,281.24
2068,5,278.79,281.17,281.17,279.81
2069,5,278.58,279.55,279.12,278.14
2070,5,281.77,283.48,281.69,278.52
2071,5,278.40,279.67,281.66,279.70
2072,5,278.03,278.75,282.95,281.78
2073,5,277.51,278.90,281.55,278.24
2074,5,276.72,282.21,280.84,280.28
2075,5,281.04,280.60,280.71,280.80
2076,5,279.49,283.90,279.95,280.02
2077,5,279.73,281.17,282.59,279.74
2078,5,282.46,280.79,279.00,279.12
2079,5,279.13,280.11,281.53,280.70
2080,5,279.27,281.67,278.47,277.95
2081,5,283.39,282.74,281.15,281.26
2082,5,279.76,282.89,284.20,283.18
2083,5,281.95,280.54,282.03,280.56
2084,5,279.40,285.76,282.53,280.80
2085,5,277.68,282.38,281.27,280.80
2086,5,278.62,279.27,280.31,282.26
2087,5,277.96,280.48,281.30,277.63
2088,5,281.71,280.66,282.12,278.90
2089,5,279.56,280.54,282.20,282.33
2090,5,281.80,277.80,283.45,280.14
2091,5,279.95,280.44,282.75,281.47
2092,5,279.96,280.59,283.23,281.45
2093,5,276.92,283.32,281.38,282.54
2094,5,280.51,281.74,279.68,281.92
2095,5,280.14,282.29,282.81,280.44
2096,5,276.04,280.62,283.22,280.64
2097,5,279.89,278.51,283.85,280.58
2098,5,279.44,279.41,282.61,280.03
2099,5,279.45,279.18,284.63,279.15
2100,5,280.82,279.90,280.68,280.44
2001,6,287.73,285.09,288.85,285.24
2002,6,290.10,286.33,288.81,284.90
2003,6,287.51,283.96,285.19,284.94
2004,6,283.98,285.30,286.39,285.22
2005,6,287.68,285.33,288.97,284.06
2006,6,282.71,288.44,285.19,285.03
2007,6,286.74,286.43,283.81,287.09
2008,6,286.46,284.56,285.44,284.46
2009,6,284.93,286.26,285.37,283.17
2010,6,285.16,285.40,283.35,287.33
2011,6,284.05,287.30,287.58,284.49
2012,6,281.65,285.56,286.02,284.63
2013,6,284.27,286.76,287.35,284.12
2014,6,287.82,289.75,287.03,289.54
2015,6,286.46,283.09,286.05,286.26
2016,6,283.54,282.65,284.62,284.96
2017,6,288.21,284.35,284.91,287.98
2018,6,285.38,286.72,287.42,288.38
2019,6,287.20,286.05,287.91,286.74
2020,6,282.07,287.72,289.74,285.00
2021,6,283.12,287.06,284.69,286.34
